Valor_Real_Regresion_mm,Prediccion_Lineal_mm,Prediccion_RedNeuronal_mm
0.0,0.0,1.08
0.0,0.0,0.0
0.0,0.0,0.0
1.0,0.0,0.04
0.2,1.12,1.73
0.0,0.81,1.19
0.0,0.0,1.03
0.0,0.0,0.38
1.4,3.75,1.98
0.0,0.0,0.0
2.2,0.0,0.07
15.6,9.69,20.65
3.6,12.19,13.12
0.0,1.55,2.0
,0.0,0.5
0.0,1.69,0.45
16.8,6.27,7.51
10.6,9.31,3.63
0.0,0.83,0.17
0.0,0.0,0.02
0.0,0.49,0.0
0.0,1.25,0.95
0.0,0.0,0.93
0.0,0.0,1.01
0.0,0.0,0.0
0.0,0.0,0.0
0.0,3.24,0.15
0.0,0.0,0.4
1.2,0.0,0.17
0.8,6.17,3.87
0.0,0.0,0.55
0.0,0.03,0.13
0.0,0.0,0.43
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.76,0.09
0.0,1.67,0.24
0.0,0.0,0.38
0.0,0.0,0.03
0.0,0.22,0.08
0.0,0.0,0.14
0.0,0.0,0.0
0.0,0.0,0.11
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,1.68
0.0,0.0,0.11
0.0,0.0,0.0
0.0,0.0,0.0
0.8,4.68,1.4
0.6,2.41,0.25
6.4,8.38,7.39
0.0,3.97,1.26
0.0,0.0,0.44
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.84
0.0,0.0,0.57
0.0,0.0,0.0
0.0,0.0,0.6
0.0,3.26,0.75
0.2,6.29,2.2
0.0,3.91,2.17
0.0,2.1,1.14
0.0,2.8,0.98
0.0,0.0,0.0
0.0,0.0,0.0
0.0,1.89,0.51
0.4,0.0,0.08
0.0,0.0,0.5
0.0,1.55,0.66
0.0,0.83,0.02
3.0,6.62,4.85
0.0,0.0,0.22
0.0,1.53,0.42
0.0,0.18,0.53
0.0,0.14,0.75
0.0,0.0,0.28
0.0,0.0,0.22
0.0,0.48,0.47
0.0,0.0,0.63
0.0,0.0,0.0
0.0,0.0,0.0
0.0,2.5,2.09
0.0,0.0,0.69
0.0,0.0,0.17
0.0,0.0,0.1
0.0,0.0,0.0
0.0,0.15,0.29
0.0,0.0,0.0
0.0,0.0,0.0
0.2,2.31,1.96
0.0,0.0,1.33
0.0,0.0,1.42
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.66
1.2,2.87,0.0
0.0,0.0,0.68
5.8,8.55,15.01
3.0,6.15,2.04
11.6,11.07,15.27
0.0,1.98,0.12
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.6,0.02
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.8
0.0,0.0,0.0
0.4,0.23,0.0
1.8,5.09,6.74
0.0,0.0,0.0
0.0,0.98,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.11
0.0,0.0,0.0
0.0,0.0,0.0
8.6,0.25,0.15
12.6,11.86,23.56
0.0,2.0,0.0
0.0,0.0,0.05
0.0,0.0,0.04
0.0,0.0,0.02
0.0,0.0,0.43
0.0,0.0,0.6
8.4,3.85,2.01
6.2,5.09,1.55
0.0,2.0,0.0
0.0,0.0,0.5
0.0,0.38,0.03
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.12,0.79
0.0,0.0,0.04
0.0,0.0,0.48
0.0,0.0,0.0
0.0,0.37,0.82
20.0,11.18,6.63
21.0,15.51,32.07
3.2,6.26,1.32
4.8,3.9,2.16
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,1.07,0.03
0.0,0.07,0.21
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.73,0.0
0.0,0.1,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.15
0.0,0.0,0.0
0.0,0.11,0.4
0.0,1.91,0.74
0.0,2.25,1.1
1.8,5.0,1.41
0.0,1.24,1.33
0.0,2.57,1.07
0.0,0.0,0.07
0.0,0.15,0.0
0.0,1.82,1.09
0.0,0.08,0.0
0.0,0.0,0.13
0.0,0.0,0.97
0.0,0.0,0.59
4.2,2.12,1.26
0.8,4.1,1.34
0.0,0.06,0.1
0.0,0.0,0.0
0.0,0.0,0.48
0.0,0.0,0.08
1.2,1.61,0.91
1.4,3.68,0.1
4.8,3.18,1.35
8.0,7.71,16.45
0.0,1.12,0.36
0.2,1.11,0.86
14.4,7.18,6.49
4.6,6.51,2.54
2.0,4.22,3.65
5.6,8.67,6.73
0.0,0.0,0.0
0.0,2.17,0.12
0.0,3.13,0.0
0.0,2.52,2.0
0.4,0.0,1.43
0.0,1.25,0.37
0.0,0.0,0.0
0.0,0.0,0.0
,0.28,0.63
